CODE,YEAR,CS,IT,ME,CE,CH,EE
3209,2016,14920,19127,0,0,0,45578
3209,2017,10722,20060,0,0,0,31020
3209,2018,14567,21342,0,0,0,30948
3209,2019,15321,21342,0,0,0,31729
3209,2020,16088,18799,0,0,0,17347
3181,2016,1453,4621,11948,0,0,19405
3181,2017,1194,3694,11197,0,0,15782
3181,2018,1214,4694,12342,0,0,15782
3181,2019,1235,5123,12342,0,0,14287
3181,2020,1287,5694,14329,0,0,16284
3208,2016,10246,14569,2563,0,0,75621
3208,2017,8896,13936,18542,0,0,73883
3208,2018,8896,14523,14793,0,0,74563
3208,2019,8896,13499,19764,0,0,71923
3208,2020,9718,15781,29383,0,0,88484
3210,2016,38415,39791,0,0,0,111310
3210,2017,37304,41482,0,0,0,103838
3210,2018,36543,42353,0,0,0,118272
3210,2019,36728,42353,0,0,0,80479
3210,2020,38353,48394,0,0,0,89474
3182,2016,1451,7854,0,0,9012,7548
3182,2017,1191,6746,0,0,8918,7077
3182,2018,1234,6737,0,0,8818,7254
3182,2019,1456,6834,0,0,8918,7077
3182,2020,1345,4599,0,0,24171,13175
3176,2016,14638,21964,27798,20147,0,29874
3176,2017,13696,21704,26467,18889,0,27341
3176,2018,12345,22341,25364,19908,0,33445
3176,2019,12633,21934,24367,17234,0,27234
3176,2020,13489,17877,42864,74383,0,56251
3183,2016,16472,26417,29314,16471,0,38714
3183,2017,18597,24551,26633,18786,0,37905
3183,2018,18597,24365,25374,19872,0,38492
3183,2019,18734,27831,26633,18786,0,37612
3183,2020,22668,30475,71746,62618,0,53369
3204,2016,10214,20578,21489,0,0,78411
3204,2017,11098,22357,22357,0,0,77605
3204,2018,12365,22357,22357,0,0,76854
3204,2019,12345,23145,23145,0,0,77605
3204,2020,67679,20943,83279,0,0,83279
3475,2016,24126,41578,47812,0,0,52147
3475,2017,22962,40496,44820,0,0,50256
3475,2018,23948,40496,43526,0,0,50256
3475,2019,22456,40253,41234,0,0,45127
3475,2020,31108,40722,90384,0,0,30294
3185,2016,4961,8741,0,0,0,8741
3185,2017,5057,8876,0,0,0,8884
3185,2018,5057,8938,0,0,0,8739
3185,2019,5121,8541,0,0,0,8812
3185,2020,5572,5354,0,0,0,16244
3199,2016,2741,3471,11647,0,1547,5741
3199,2017,2870,4495,12518,0,1669,5917
3199,2018,2870,4495,12518,0,1782,5917
3199,2019,3162,4871,13045,0,1721,5431
3199,2020,2194,4685,15438,0,1739,12173
3211,2016,28746,13247,10741,0,0,24178
3211,2017,29614,13433,10233,0,0,25347
3211,2018,30293,12543,11029,0,0,26734
3211,2019,28154,15466,11982,0,0,27634
3211,2020,12202,17604,19283,0,0,70436
3207,2016,17964,2714,21789,0,0,42147
3207,2017,16838,28880,23022,0,0,44811
3207,2018,15961,28633,32012,0,0,56141
3207,2019,21337,24619,70409,0,0,86281
3207,2020,19245,27300,86798,0,0,88452
3201,2016,27884,0,42155,65471,0,47816
3201,2017,29012,0,41310,60120,0,44204
3201,2018,30495,0,42948,60120,0,42394
3201,2019,26721,0,40917,61252,0,42817
3201,2020,83558,0,23456,83558,0,71485
3197,2016,18942,22458,24791,0,0,15479
3197,2017,17327,21564,26644,0,0,14946
3197,2018,11843,22134,27363,0,0,10644
3197,2019,9696,20171,9896,0,0,25921
3197,2020,5726,8908,22987,0,0,25851
3196,2016,45715,0,198741,0,0,47851
3196,2017,43817,0,20498,0,0,49649
3196,2018,43817,0,21039,0,0,50393
3196,2019,43513,0,21451,0,0,45321
3196,2020,24227,0,90128,0,0,98720
3214,2016,15795,0,23146,0,0,65741
3214,2017,14210,0,24792,0,0,63666
3214,2018,14210,0,25039,0,0,64955
3214,2019,12324,0,23761,0,0,61234
3214,2020,15517,0,39523,0,0,74268
