CODE,YEAR,CS,IT,ME,CE,CH,EE
3187,2016,18981,21466,10001,18467,23145,69715
3187,2017,20254,22626,10199,21947,25981,68776
3187,2018,20254,23413,10234,22341,26756,68776
3187,2019,19273,24759,10299,25298,26756,67298
3187,2020,15475,25633,23712,45485,84765,50789
3012,2016,1431,1410,1224,2895,0,1847
3012,2017,655,1529,1123,2199,0,1699
3012,2018,655,1678,1123,3422,0,1699
3012,2019,798,1678,1281,3674,0,1736
3012,2020,693,1047,2135,3763,0,2183
3193,2016,44480,46119,45216,0,76831,72377
3193,2017,50238,49966,52350,0,75513,81450
3193,2018,55234,48821,52350,0,76384,81450
3193,2019,58783,48192,51278,0,76181,82345
3193,2020,44732,47407,54236,0,28976,60983
3014,2016,0,0,1676,3159,0,2737
3014,2017,0,0,1842,3106,0,2565
3014,2018,0,0,1763,3309,0,2435
3014,2019,0,0,1835,3471,0,2345
3014,2020,0,0,4875,6930,0,4947
3190,2016,24476,29744,27984,38746,0,56812
3190,2017,24567,30130,25108,40393,0,70433
3190,2018,24567,31049,25108,41095,0,70433
3190,2019,24567,31456,23671,40132,0,69812
3190,2020,18839,25181,23647,54963,0,83188
3203,2016,21342,29577,0,0,0,52885
3203,2017,17858,31217,0,0,0,30739
3203,2018,17858,31217,0,0,0,30739
3203,2019,16513,30187,0,0,0,30876
3203,2020,20063,19611,0,0,0,74007
3192,2016,35478,0,0,0,0,42178
3192,2017,30812,0,0,0,0,44858
3192,2018,31234,0,0,0,0,44858
3192,2019,30812,0,0,0,0,43124
3192,2020,47028,0,0,0,0,82134
3189,2016,20625,28797,17595,0,72338,54170
3189,2017,22924,29205,20552,0,74356,59229
3189,2018,22924,29205,22789,0,76384,59229
3189,2019,21876,24871,20561,0,72413,58713
3189,2020,15374,15374,23349,0,37913,82449
3154,2016,37347,43578,36764,89745,0,68474
3154,2017,39487,50123,44235,84156,0,74896
3154,2018,38487,51049,44235,84156,0,84867
3154,2019,37814,49761,43176,85211,0,83154
3154,2020,88370,45823,38495,72304,0,74018
3174,2016,9710,15468,0,0,0,29874
3174,2017,9879,17424,0,0,0,30121
3174,2018,9879,18938,0,0,0,31938
3174,2019,9423,16751,0,0,0,30541
3174,2020,10293,14392,0,0,0,24152
3188,2016,26654,36998,0,0,0,44302
3188,2017,42844,39889,0,0,0,48012
3188,2018,45263,39889,0,0,0,49503
3188,2019,41262,38716,0,0,0,47615
3188,2020,23566,31668,0,0,0,59523
3135,2016,12834,16982,13204,0,0,26231
3135,2017,12897,12735,12582,0,0,17110
3135,2018,12897,12735,14392,0,0,17110
3135,2019,12625,12356,12582,0,0,18643
3135,2020,11885,13603,44332,0,0,43589
3139,2016,8972,15181,0,0,0,25862
3139,2017,15263,16854,0,0,0,16417
3139,2018,14527,15263,0,0,0,17354
3139,2019,15263,17985,0,0,0,16417
3139,2020,9642,43713,0,0,0,17985
3036,2016,0,0,0,0,2431,0
3036,2017,0,0,0,0,1321,0
3036,2018,0,0,0,0,1203,0
3036,2019,0,0,0,0,1242,0
3036,2020,0,0,0,0,1630,0
