CODE,YEAR,CS,IT,ME,CE,CH,EE
3187,2016,15707,19962,9535,23993,21497,42312
3187,2017,12291,19723,18830,24703,16814,18740
3187,2018,12891,18830,18001,24123,18986,28463
3187,2019,13475,17638,17638,23471,18537,25719
3187,2020,14471,22141,22141,27993,47308,69641
3209,2016,4157,7178,0,0,0,11330
3209,2017,5726,7823,0,0,0,16845
3209,2018,6728,7823,0,0,0,17635
3209,2019,6728,7823,0,0,0,16234
3209,2020,5706,6510,0,0,0,16879
3181,2016,1857,3511,2562,0,0,4292
3181,2017,1510,2829,2626,0,0,6025
3181,2018,1632,3048,3421,0,0,6213
3181,2019,1510,3641,3421,0,0,6452
3181,2020,1432,3948,3321,0,0,7039
3012,2016,103,444,477,1575,0,711
3012,2017,263,417,380,1447,0,945
3012,2018,324,432,435,1447,0,992
3012,2019,348,475,467,1447,0,985
3012,2020,91,205,1287,2659,0,1686
3208,2016,8769,8038,5569,0,0,11222
3208,2017,5876,8808,5382,0,0,9615
3208,2018,7544,8808,6374,0,0,10265
3208,2019,5876,8123,6288,0,0,9871
3208,2020,9548,12959,25681,0,0,16828
3193,2016,29308,33793,22090,0,34733,48706
3193,2017,37840,41129,28849,0,41737,66754
3193,2018,38947,42354,29847,0,41737,65473
3193,2019,34526,37891,27364,0,45721,65198
3193,2020,38921,40073,52000,0,26196,58495
3210,2016,21464,32838,0,0,0,51211
3210,2017,21954,36829,0,0,0,61001
3210,2018,22345,35747,0,0,0,62342
3210,2019,22476,35747,0,0,0,62398
3210,2020,25551,40833,0,0,0,84505
3182,2016,2115,4561,0,0,5936,5016
3182,2017,3751,4762,0,0,4790,5461
3182,2018,3654,4532,0,0,4729,5444
3182,2019,3425,4578,0,0,4571,5418
3182,2020,2957,3938,0,0,12676,7695
3176,2016,6058,8801,7566,12147,0,12803
3176,2017,4217,7576,5869,13873,0,11975
3176,2018,4413,7654,5645,14527,0,12342
3176,2019,4098,7423,5678,17821,0,12733
3176,2020,6585,7868,22663,34314,0,17666
3014,2016,0,0,734,2194,0,2146
3014,2017,0,0,739,2420,0,1717
3014,2018,0,0,739,2420,0,1717
3014,2019,0,0,723,2398,0,1498
3014,2020,0,0,2905,5825,0,3418
3183,2016,10352,14056,6718,12930,0,18704
3183,2017,9397,14627,10884,14293,0,32490
3183,2018,9397,14627,11987,12354,0,33421
3183,2019,9765,14981,10899,12356,0,31522
3183,2020,17688,23363,52273,41145,0,29335
3190,2016,17425,21338,12539,20179,0,32619
3190,2017,16234,21195,15922,23427,0,40157
3190,2018,23451,23415,16725,22467,0,41654
3190,2019,16234,21195,15922,23427,0,41234
3190,2020,15515,19762,88576,40034,0,51328
3203,2016,11417,14829,0,0,0,22970
3203,2017,9776,12961,0,0,0,20299
3203,2018,9776,13452,0,0,0,21049
3203,2019,9871,12986,0,0,0,19762
3203,2020,10640,15510,0,0,0,32785
3192,2016,24478,0,0,0,0,51511
3192,2017,29984,0,0,0,0,38743
3192,2018,29984,0,0,0,0,39480
3192,2019,27854,0,0,0,0,38471
3192,2020,47685,0,0,0,0,80190
3189,2016,15504,23119,14954,0,21893,32997
3189,2017,14594,22992,15236,0,71325,36866
3189,2018,14594,23098,16729,0,71325,38492
3189,2019,14273,23561,15624,0,71243,31234
