College Code,College Name,Rating
3036,"Institute of Chemical Technology, Mumbai",4.4
3012,"Veermata Jijabai Technological Institute, Mumbai ",4.3
3139,"Vidyalankar Institute of Technology, Mumbai ",4.3
3181,"KJ Somaiya College of Engineering, Mumbai ",4.2
3014,"Sardar Patel Institute of Technology, Mumbai",4.2
3209,"KJ Somaiya Institute of Engineering and Information Technology, Mumbai",4.1
3199,"Dwarkadas J Sanghvi College of Engineering, Mumbai ",4.1
3182,"Thadomal Shahani Engineering College, Mumbai",3.8
3185,"Vivekanand Education Society's Institute of Technology, Chembur ",3.8
3174,"Ramrao Adik Institute of Technology, Navi Mumbai ",3.8
3207,"Pillai College of Engineering, New Panvel ",3.7
3176,"Thakur College of Engineering and Technology, Mumbai ",3.7
3203,"Atharva College of Engineering, Malad",3.6
3208,"Don Bosco Institute of Technology, Mumbai",3.6
3201,"Rizvi College of Engineering, Bandra",3.5
3197,"Fr C Rodrigues Institute of Technology, Navi Mumbai ",3.3
3214,"Xavier Institute of Engineering, Mumbai",3.2
3190,"Terna Public Charitable Trust's Terna Engineering College, Navi Mumbai ",3.1
3475,"AP Shah Institute of Technology, Thane",3.1
3135,"MCTs Rajiv Gandhi Institute of Technology, Mumbai",3.1
3187,"Datta Meghe College of Engineering, Navi Mumbai ",3.1
3188,"Padmabhushan Vasantdada Patil Pratishthan's College of Engineering, Mumbai",2.9
3154,"Saraswati College of Engineering, Navi Mumbai",2.9
3211,"SIES Graduate School of Technology, Navi Mumbai",2.8
3204,"St Francis Institute of Technology, Mumbai",2.8
3183,"MH Saboo Siddik College of Engineering, Mumbai",2.6
3189,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",2.6
3210,"KC College of Engineering and Management Studies and Research, Thane",2.5
3192,"Smt Indira Gandhi College of Engineering, Navi Mumbai",2
3196,"Lokmanya Tilak College of Engineering, Navi Mumbai",1.5
3193,"Shivajirao S Jondhale College of Engineering, Thane",1.4
