CODE,YEAR,CS,IT,ME,CE,CH,EE
3187,2016,35614,42561,14561,28745,54151,78964
3187,2017,33511,41778,12694,23047,52157,74770
3187,2018,30987,41778,13452,23047,52157,74770
3187,2019,30987,41778,13452,26381,52157,72398
3187,2020,27540,46005,85646,28050,76339,51469
3012,2016,2389,4550,3089,7520,0,6267
3012,2017,3474,5172,4279,7346,0,6510
3012,2018,3474,5172,4312,7346,0,7646
3012,2019,3582,5298,4127,7346,0,7538
3012,2020,2037,2988,2986,10861,0,15730
3193,2016,52659,71452,49781,0,75124,90214
3193,2017,71451,73231,51863,0,79155,95431
3193,2018,72345,75231,52436,0,79155,93456
3193,2019,71237,73267,53981,0,80123,92166
3193,2020,55111,56311,56098,0,31455,62341
3014,2016,0,0,4809,8643,0,14280
3014,2017,0,0,7756,10028,0,9989
3014,2018,0,0,7456,11029,0,9989
3014,2019,0,0,7641,12452,0,9178
3014,2020,0,0,10969,15096,0,12139
3190,2016,26478,37941,24513,336415,0,91478
3190,2017,26532,38892,22530,32219,0,89291
3190,2018,25532,36892,21375,32219,0,90836
3190,2019,23532,32692,23176,31981,0,87652
3190,2020,22232,29082,94357,77869,0,78494
3203,2016,22314,38784,0,0,0,53144
3203,2017,23361,39314,0,0,0,54015
3203,2018,23361,40394,0,0,0,55637
3203,2019,21541,38713,0,0,0,51289
3203,2020,16717,21791,0,0,0,87892
3192,2016,33487,0,0,0,0,53124
3192,2017,34123,0,0,0,0,53485
3192,2018,34123,0,0,0,0,54273
3192,2019,32918,0,0,0,0,53485
3192,2020,88523,0,0,0,0,84526
3189,2016,33478,34791,22667,0,78964,47981
3189,2017,32815,35002,17202,0,76103,43968
3189,2018,32815,36748,18937,0,76103,44776
3189,2019,31467,34123,16541,0,75131,42151
3189,2020,21951,21951,31347,0,40203,88403
3154,2016,45679,52146,17891,115621,0,90999
3154,2017,47667,53747,18761,100613,0,90770
3154,2018,48376,53747,19384,100294,0,91039
3154,2019,46514,52187,18651,100713,0,89615
3154,2020,94571,50294,42940,75039,0,79384
3174,2016,10978,15647,0,0,0,35146
3174,2017,11876,19879,0,0,0,33452
3174,2018,12843,20393,0,0,0,32442
3174,2019,10345,18741,0,0,0,33452
3174,2020,13847,18939,0,0,0,30193
3188,2016,41562,41997,0,0,0,57891
3188,2017,43959,45662,0,0,0,58659
3188,2018,43959,44203,0,0,0,58659
3188,2019,46513,45662,0,0,0,56783
3188,2020,25256,37893,0,0,0,73980
3135,2016,17948,35461,37891,0,0,21476
3135,2017,18547,35212,35034,0,0,22028
3135,2018,19283,36748,35034,0,0,23039
3135,2019,17621,35212,32161,0,0,22028
3135,2020,14689,18866,63581,0,0,48169
3139,2016,17482,17731,0,0,0,22547
3139,2017,16110,17610,0,0,0,19589
3139,2018,15110,14827,0,0,0,19589
3139,2019,14352,15110,0,0,0,19589
3139,2020,15478,45678,0,0,0,36821
3036,2016,0,0,0,0,9797,0
3036,2017,0,0,0,0,9500,0
3036,2018,0,0,0,0,9695,0
3036,2019,0,0,0,0,9762,0
3036,2020,0,0,0,0,2130,0
